Category,Subcategory,Supplier,Brand,Region,Year,Month,Units Month, Values Month ,Column1
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,1,11560," $62,800.00 "," $62,800.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,2,10750," $58,360.00 "," $58,360.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,3,11020," $59,840.00 "," $59,840.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,4,11310," $61,400.00 "," $61,400.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,5,13780," $74,870.00 "," $74,870.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,6,13260," $72,050.00 "," $72,050.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,7,11710," $63,620.00 "," $63,620.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,8,12800," $69,500.00 "," $69,500.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,9,9140," $49,640.00 "," $49,640.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,10,11690," $63,460.00 "," $63,460.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,11,9520," $51,710.00 "," $51,710.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2018,12,13110," $71,200.00 "," $71,200.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,1,9280," $55,560.00 "," $55,560.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,2,11380," $68,140.00 "," $68,140.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,3,10990," $65,840.00 "," $65,840.00 "
Shampoo,Anti-dandruff,Apex Trading Co.,RedRose,Center,2019,4,11920," $71,430.00 "," $71,430.00 "
